_id,Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
664bfc7c454cf75dcafaa89e,Prêmio ABRIC de Excelência em Iniciação Científica ,Aumento na produção agrícola a partir da utilização de gás carbônico no tratamento de sementes - fase II ,Colégio Londrinense - Instituto Filadélfia de Londrina, Londrina,Paraná (PR),2018
664bfc7d454cf75dcafaa89f,Prêmio ABRIC de Excelência em Iniciação Científica ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
664bfc7d454cf75dcafaa8a0,Prêmio ABRIC de Excelência em Iniciação Científica ,Curativo cicatrizante com propriedades da planta Stryphnodendron adstringens “barbatimão” ,E.E. Prof. José Claret Dionísio, Hortolandia,São Paulo (SP),2018
664bfc7d454cf75dcafaa8a1,Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,SmartCam: dispositivo de segurança para ultrapassagem ,COLEGIO ESTADUAL WILSON LINS, Valente,Bahia (BA),2018
664bfc7e454cf75dcafaa8a2,Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Usando a robótica educacional de baixo custo para ensinar fenômenos físicos ,IFPI - Unid. Parnaíba, Parnaiba,Piauí (PI),2018
664bfc7e454cf75dcafaa8a3,Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Aplicação da farinha do Hymenaea courbaril no combate à desnutrição ,Centro de Ensino Professor Edinan Moraes, Imperatriz,Maranhão (MA),2018
664bfc7f454cf75dcafaa8a4,Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Cimento ósseo a partir da reciclagem de resíduos das indústrias coureira e pesqueira ,Etec Prof. Carmelino Corrêa Júnior (agrícola), Franca,São Paulo (SP),2018
664bfc7f454cf75dcafaa8a5,Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Biovaso: reaproveitamento dos resíduos de biomassa Euterpe oleracea para a produção de vasos ecológicos ,Escola Conexão Aquarela, Macapa,Amapá (AP),2018
664bfc7f454cf75dcafaa8a6,Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Produção e viabilidade de copos de café comestíveis como alternativa ao plástico ,Instituto Federal de Educação, Ciência E Tecnologia Do Mato Grosso Do Sul - Campus Três Lagoas,Tocantins (TO),2018
664bfc80454cf75dcafaa8a7,Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Superdotação sob a perspectiva da educação inclusiva ,ESC PROF JOSE RODRIGUES LEITE, Rio Branco,Acre (AC),2018
664bfc80454cf75dcafaa8a8,Prêmio Agência USP de Inovação ,Utilização de compostos bioativos microbianos no desenvolvimento de alternativa para combate de Cândida spp. ,Colégio Interativa, Londrina,Paraná (PR),2018
664bfc80454cf75dcafaa8a9,Prêmio Destaque do Ano Ciências Moleculares ,Aplicação da pasteurização como método de conservação do caldo de cana e inativação do agente etiológico Trypanosoma cruzi causador da doença de Chagas – Fase II ,E.E. Viriato Bandeira, Coxim,Mato Grosso do Sul (MS),2018
664bfc81454cf75dcafaa8aa, ,Cartografia dos adolescentes desaparecidos no “Triângulo da Violência” na zona sul da cidade de São Paulo em 2016 ,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2018
664bfc81454cf75dcafaa8ab,Prêmio EDUSP ,Espuma de poliuretano a partir da casca da mandioca: o uso do lei de Lavoisier para explicar a transformação de resíduo em novos materiais ,E.E. Fernando Otavio, Para De Minas,Minas Gerais (MG),2018
664bfc82454cf75dcafaa8ac,Prêmio EDUSP ,Desenvolvimento de capas para celular e notebook utilizando células fotovoltaicas monocristalinas com conversor e wireless ,Colégio Visconde de Guarapuava, Guarapuava,Paraná (PR),2018
664bfc82454cf75dcafaa8ad,Prêmio EDUSP ,Chocadeira autossustentável ,E.E. Maria do Carmo Lima Pinto, Alagoa,Minas Gerais (MG),2018
664bfc83454cf75dcafaa8ae,Prêmio EDUSP ,"Doação de sangue, uma busca sem fim! ",E.M.E.F Maria Almerinda Paz de Oliveira, Nova Hartz,Rio Grande do Sul (RS),2018
664bfc83454cf75dcafaa8af,Prêmio EDUSP ,Cashew Bottle: garrafa biodegradável produzida a partir do reaproveitamento de resíduos do cajueiro (Anacardium occidentale L.). ,E.E. Prof. Hermógenes Nogueira da Costa, Mossoro,Rio Grande do Norte (RN),2018
