Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
Mostra Nacional de Feiras de Ciências,Visualização de estruturas e osmose em células vegetais com uso de corantes naturais ,E.E. Ceti Prof. Manuel Vicente Ferreira Lima, Coari,Tocantins (TO),2023
Mostra Nacional de Feiras de Ciências,Fabricação de telhas a partir da reutilização de plástico e pó de serragem ,E.E.E.F.M. César Freitas Cassol, Porto Velho,Rondônia (RO),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Ibiry ,Colégio Técnico e Industrial de Guaratinguetá, Guaratingueta,São Paulo (SP),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Construção de redes neurais artificiais para mapeamento de inteligências múltiplas dentro de jogos digitais ,Colégio e Curso Matriz Educação, Sao Joao De Meriti,Rio de Janeiro (RJ),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Autie: aplicativo de suporte para mulheres autistas ,IFSP - Campus Suzano, Suzano,São Paulo (SP),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Clean water ,Colégio Diocesano Santa Luzia, Mossoro,Rio Grande do Norte (RN),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Biomassa: transformando e sustentando vidas para o amanhã ,Colégio Presbiteriano João Calvino , Rio Branco,Acre (AC),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Saelo ,SESI SENAI Sobradinho, Brasilia,Distrito Federal (DF),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Nanoemulsões a partir de óleos essenciais: uso da nanotecnologia como solução sustentável na agricultura ,IFES - Campus Vila Velha, Vila Velha,Espírito Santo (ES),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Reinvenção do pó metálico ,Escola SESI-Canaã Centro de Atividades Mozart Soares Filho, Goiania,Goiás (GO),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Análise do extrato da semente do bacuri (Platonia insignis Mart.) na obtenção de bioativos com potenciais em atividade leishmanicida ,Escola Santa Teresinha, Imperatriz,Maranhão (MA),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Determinação do impacto ambiental no rio Braço Norte de Guarantã do Norte-MT pelo biomonitoramento com o sistema-teste Allium cepa L. ,IFMT - Campus Avançado de Guarantã do Norte, Guarantã Do Norte,Mato Grosso (MT),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Protótipo didático automatizado para o ensino do eletromagnetismo utilizando elementos de ficção científica ,IFMS - Campus Três Lagoas, Tres Lagoas,Mato Grosso do Sul (MS),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Ilhas do conhecimento - jogo digital desenvolvido para mitigar o déficit pedagógico-cognitivo em tempos de pós-pandemia ,Colégio Militar de Belo Horizonte, Belo Horizonte,Minas Gerais (MG),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Transponder para embarcações: um estudo social de prevenção a acidentes na região de Barcarena – PA 4ª fase startup ,Sistema de Ensino Inove, Abaetetuba,Pará (PA),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,M - Plasfil: desenvolvimento de membrana para microfiltração e retenção de microplásticos ,Escola SESI - Unidade Prata, Campina Grande,Paraíba (PB),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Avaliação do efeito do biofilme comestível à base de plânctons e/ou diferentes amidos associado ou não à refrigeração na conservação de vegetais in natura e controle alternativo com o uso de extratos vegetais no cultivo in vitro de patógenos – fase IV ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Utilização das cascas de castanhas-de-caju para a fabricação de tijolos ,Colégio Adventista de Caruaru, Caruaru,Pernambuco (PE),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Análise da viabilidade e eficiência da filtragem de cor na quantificação do percentual de cobertura arbórea no processamento de imagens de satélite ,Colégio São Francisco de Sales Diocesano , Teresina,Piauí (PI),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Investigação do desequilíbrio metalômico associado ao câncer ,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,"Sistema de coleta e armazenagem de água da chuva a partir de materiais de baixo custo, uma alternativa de combate à seca no semiárido nordestino ",E.E. Monsenhor Raimundo Gurgel, Mossoró,Rio Grande do Norte (RN),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Avaliação de processos Fenton na degradação de corantes ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Fabricação de telhas a partir da reutilização de plástico e pó de serragem ,E.E.E.F.M. César Freitas Cassol, Porto Velho,Rondônia (RO),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Endoparasitas de peixes comercializados na feira do produtor em Roraima ,E.E. Monteiro Lobato, Boa Vista,Roraima (RR),2023
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC,Análise da composição química do óleo essencial da Senecio oleosus para composição de um curativo alternativo bioativo ,Colégio Bom Jesus Diocesano, Lages,Santa Catarina (SC),2023
