Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
Prêmio MOCICA ,Síntese de partículas de magnetita associadas a carvão ativo e poliuretano para adsorção de corantes e íons de Cd²+ e Co²+,Etec Irmã Agostina, Sao Paulo,São Paulo (SP),2019
Prêmio MOCICA ,Nanocris: desenvolvimento e caracterização de nanocápsulas de núcleo lipídico contendo crisina para tratamento de melanoma cutâneo,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2019
Prêmio MOCICA ,Interactive Braille: kit para alfabetização em Braille a baixo custo,IFSP - Campus Campinas, Campinas,São Paulo (SP),2019
Prêmio MOCICA ,Desafio Alfa: a tecnologia transformando a sala de aula,E.E.B. Irmã Irene, Santa Cecilia,Santa Catarina (SC),2019
Prêmio MOCICA ,Interferência da maquiagem e acessórios no reconhecimento facial,CEFET-MG - Unidade BH - Campus II, Belo Horizonte,Minas Gerais (MG),2019
Prêmio FECON Recife ,Análise in vitro do potencial biotecnológico do Oenocarpus bacaba Mart. na prevenção e redução neurodegenerativas de Alzheimer,C.E.E.F.M. Delfino Aguiar de Azevedo, Sao Joao Do Paraiso,Maranhão (MA),2019
Prêmio EXPOCETI ,Quadro Vivo automatizado: cultivo em espaços reduzidos,IFC - Campus Rio do Sul, Rio Do Sul,Santa Catarina (SC),2019
Prêmio EXPOCETI ,Degradação enzimática de resíduos orgânicos para obtenção de blocos sustentáveis e adubo natural,Etec Raposo Tavares, Sao Paulo,São Paulo (SP),2019
Prêmio EXPOCETI ,Inovação na produção sustentável de poliuretano,Etec de Suzano, Suzano,São Paulo (SP),2019
Prêmio EXPOCETI ,Análise de compostos sensibilizadores dos mecanismos de resistência das bactérias em extratos orgânicos da Amburana cearensis,IFRJ - Campus Maracanã, Rio De Janeiro - Rj,Tocantins (TO),2019
Prêmio EXPOCETI ,Avaliação do efeito de extratos trevinho (Trifolium repens) e tiririca (Cyperus rotundus) no cultivo in vitro de orquídeas,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2019
Prêmio EXPOCETI ,Austin,Etec Bento Quirino, Campinas,São Paulo (SP),2019
Prêmio EXPOCETI ,Combate ao mal do século,Etec de Suzano, Suzano,São Paulo (SP),2019
Prêmio EXPOCETI ,Saburâmica: uma opção ecológica,E.E. Doutor José Fernandes de Melo, Pau Dos Ferros,Rio Grande do Norte (RN),2019
Prêmio ABRITEC - Muestra Científica Latinoamericana ,One Guitar: tecnologia assistiva no auxílio rítmico do violão para pessoas sem um dos membros superiores,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2019
Prêmio ABRITEC - Muestra Científica Latinoamericana ,Análise in vitro do potencial biotecnológico do Oenocarpus bacaba Mart. na prevenção e redução neurodegenerativas de Alzheimer,C.E.E.F.M. Delfino Aguiar de Azevedo, Sao Joao Do Paraiso,Maranhão (MA),2019
Prêmio MOCITEPAL ,Paperwash: protótipo de reaproveitamento do papel kraft produzido para a embalagem do cimento,IFBA - Campus Salvador, Salvador,Bahia (BA),2019
Prêmio MOCITEPAL ,Captação de pó basáltico,E.E. Sérvulo Pereira de Araújo Ensino Médio, Bodo,Rio Grande do Norte (RN),2019
Prêmio Destaque EXPOCETI ,Avaliação da atividade larvicida do extrato etanólico da Hymenaea stigonocarpa (jatobá do cerrado) frente ao Aedes aegypti,Colégio Militar de Campo Grande, Campo Grande,Mato Grosso do Sul (MS),2019
Prêmio Destaque EXPOCETI ,"Cabelo, autoestima e construção da identidade da menina negra no ensino fundamental II",E.E. Leila Mara Avelino, Sumare,São Paulo (SP),2019
Prêmio FENECIT ,Planejamento logístico para otimização do atendimento de saúde e segurança pública móvel em Coxim - MS - Fase II,IFMS - Campus Coxim, Coxim,Mato Grosso do Sul (MS),2019
Prêmio FENECIT ,Avaliação da aplicabilidade do caroço do açaí como massa modelável: um estudo social da mobilização econômica e impactos socioambientais – fase II,Sistema de Ensino Inove, Abaetetuba,Pará (PA),2019
Prêmio FENECIT ,Uso de diferentes concentrações de uva-do-japão (Hoveniadulcis) no controle do fungo Colletotrichum gloeosporioides in vitro e em Capsicumbaccatum var.pendulum,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2019
Prêmio FENECIT ,Aplicação de argilas para remoção de pesticidas presentes em meio aquoso,IFRN - Campus Natal - Zona Norte, Natal,Rio Grande do Norte (RN),2019
Prêmio Destaque FENECIT ,"A casa de açaí: material de construção à base de caroço de açaí como alternativa segura, sustentável e acessível às comunidades da periferia amazônica",E.E.E.M. Prof ª Ernestina Pereira Maia, Moju,Pará (PA),2019
Prêmio Mostra de Ciências e Tecnologia da Escola AÇAÍ  - MCTEA ,Utilização de óleos essenciais de alecrim-pimenta e cravo-da-índia como sanitizantes naturais,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2019
Prêmio Mostra de Ciências e Tecnologia da Escola AÇAÍ  - MCTEA ,Estudo da agregação de extratos naturais àbio-mulching para uso na agricultura como forma de prevenção e controle de pragas,E.E.E.M. Elisa Tramontina, Carlos Barbosa,Rio Grande do Sul (RS),2019
Prêmio Destaque Mostra de Ciências e Tecnologia da Escola AÇAÍ - MCTEA ,T-STARK – quarto automatizado inteligente para pacientes de pós- operatório ou com restrição de movimentos,QI Faculdades e Escola Técnica, Sao Leopoldo,Rio Grande do Sul (RS),2019
Prêmio Feira de Ciências do Semiárido Potiguar ,Conversão Eletromecânica de Energia Sonora em Elétrica,Colégio Visconde de Porto Seguro - Unidade I, Sao Paulo,São Paulo (SP),2019
Prêmio Feira de Ciências do Semiárido Potiguar ,Aquaponia familiar e escolar: uma alternativa sustentável para produção e segurança alimentar,E.E. Prof ª Hermelina de Albuquerque Passarella, Mairipora,São Paulo (SP),2019
Prêmio de Excelência FeNaDante ,Do natural ao essencial,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2019
Prêmio de Excelência FeNaDante ,Análise in vitro do potencial biotecnológico do Oenocarpus bacaba Mart. na prevenção e redução neurodegenerativas de Alzheimer,C.E.E.F.M. Delfino Aguiar de Azevedo, Sao Joao Do Paraiso,Maranhão (MA),2019
Prêmio de Excelência FeNaDante ,Aplicação da semente da Moringa oleifera como solução à eutrofização,SENAI Vila Canaã, Goiania,Goiás (GO),2019
Prêmio de Excelência FeNaDante ,Lazu Academy: plataforma (WEB & Mobile) de educação digital,UP DESK, Manaus,Amazonas (AM),2019
Prêmio de Excelência FeNaDante ,Instalação de painéis solares em moradias populares para pessoas de baixa renda,E.M. Thiago Barbosa, Palmas,Tocantins (TO),2019
Prêmio INFOMATRIX Brasil ,"Sistema de captação de água de poços artesianos, sem uso de energia elétrica em áreas de assentamento do município de Bodó-RN",E.E. Sérvulo Pereira de Araújo Ensino Médio, Bodo,Rio Grande do Norte (RN),2019
Prêmio Veraño Nacional Científico Para Estudiantes Sobresalientes (VENCES) ,A produção das identidades em ambiente escolar: experiências contemporâneas de jovens dissidentes de gênero e sexualidade nas escolas de Mato Grosso do Sul inspiradas na obra “A garota dinamarquesa”,Nova Escola, Campo Grande,Mato Grosso do Sul (MS),2019
Prêmio MTEP ,Texturas e sensações a favor da inclusão social,E.E. Elias Salomão, Mateus Leme,Minas Gerais (MG),2019
Prêmio MTEP ,"O uso do polietileno, contido nas embalagens de shampoo, na produção de uma telha ecológica",E.E. Monsenhor Raimundo Gurgel, Mossoro,Rio Grande do Norte (RN),2019
Prêmio Destaque MTEP ,Uso do produto “Bemisia’s” óleo de algodão no combate à tripes (Thysanoptera) e da cigarrinha verde (Empoascakraemeri) nas plantações de feijão no município de Severiano Melo - RN,E.E. Severiano Melo, Severiano Melo,Rio Grande do Norte (RN),2019
Prêmio FEMIC ,"Seaweedplastic: criação de um plástico feito à base de algas marinhas (Gracilariabirdiae), a fim de retardar o processo de oxidação das frutas",Campo não encontrado,Campo não encontrado,Campo não encontrado,2019
Prêmio FEMIC ,QHA - quarto hospitalar automatizado,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2019
Prêmio FEMIC ,Estudos acerca das variações linguísticas de língua brasileira de sinais no litoral norte gaúcho,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2019
Prêmio FETECMS ,Estudos acerca das variações linguísticas de língua brasileira de sinais no litoral norte gaúcho,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2019
Prêmio FETECMS ,Utilização da polpa celulósica com incorporação de babosa e casca de arroz para produção de materiais destinados à construção civil,Escola SESI de Ensino Médio Arthur Aluízio Daudt, Sapucaia Do Sul,Rio Grande do Sul (RS),2019
Prêmio FETECMS ,Desenvolvimento de cateter bioativo proveniente do aproveitamento do líquido da castanha do caju (AnacardiumOccidentale) como alternativa na prevenção de infecção sistêmica,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2019
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC ,Análise e formulação dos compostos antibióticos da Amburana cearensis frente a culturas deStaphylococcus spp.,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2019
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC ,Prevalência social nas mulheres em tratamento mastológico na cidade de São Paulo: um estudo com base no rastreamento oncológico do Sistema Único de Saúde (SUS),Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2019
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC ,O impacto da formação de identidade hipermoderna: ação comunicativa para saúde mental dos adolescentes (fase II),Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2019
Prêmio Incentivo à Inovação Tecnológica MOSTRATEC ,Sistema automatizado de recolhimento de varal (SARV),Colégio FAAT, Atibaia,São Paulo (SP),2019
Prêmio Genius Olympiad ,Manejo sustentável da Mauritia flexuoso para o desenvolvimento econômico do sudoeste maranhense,C.E. Prof. Edinan Moraes, Imperatriz,Maranhão (MA),2019
Prêmio Genius Olympiad ,Redução da toxicidade de efluentes de curtumes até às condições de água potável,Etec Prof. Carmelino Corrêa Júnior (Escola Agrícola), Franca,São Paulo (SP),2019
Prêmio Destaque 2019 ,Da água suja à energia limpa: utilizando o potencial energético do Rio Tietê,Colégio Renascença, Sao Paulo,São Paulo (SP),2019
Prêmio Destaque 2019 ,Conversão Eletromecânica de Energia Sonora em Elétrica,Colégio Visconde de Porto Seguro - Unidade I, Sao Paulo,São Paulo (SP),2019
Prêmio Excelência em Ciências ,Aplicação da semente da Moringa oleifera como solução à eutrofização,SENAI Vila Canaã, Goiania,Goiás (GO),2019
Prêmio STEM Tech Camp Jr. ,"Seaweedplastic: criação de um plástico feito à base de algas marinhas (Gracilariabirdiae), a fim de retardar o processo de oxidação das frutas",Campo não encontrado,Campo não encontrado,Campo não encontrado,2019
Prêmio STEM Tech Camp Jr. ,Avaliação do efeito de extratos trevinho (Trifoliumrepens) e tiririca (Cyperusrotundus) no cultivo in vitro de orquídeas,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2019
Prêmio STEM Tech Camp Jr. ,Aquaponia familiar e escolar: uma alternativa sustentável para produção e segurança alimentar,E.E. Prof ª Hermelina de Albuquerque Passarella, Mairipora,São Paulo (SP),2019
Prêmio STEM Tech Camp Jr. ,O uso do fio da garrafa PET na construção de cercas ecológicas para ovinos no semiárido nordestino,E.E. Monsenhor Raimundo Gurgel, Mossoro,Rio Grande do Norte (RN),2019
Prêmio STEM Tech Camp Jr. ,Uso de diferentes concentrações de uva-do-japão (Hoveniadulcis) no controle do fungo Colletotrichum gloeosporioides in vitro e em Capsicumbaccatumvar.pendulum,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2019
Prêmio STEM Tech Camp Jr. ,"Cabelo, autoestima e construção da identidade da menina negra no ensino fundamental II",E.E. Leila Mara Avelino, Sumare,São Paulo (SP),2019
Prêmio STEM Tech Camp Jr. ,"A casa de açaí: material de construção à base de caroço de açaí como alternativa segura, sustentável e acessível às comunidades da periferia amazônica",E.E.E.M. Prof ª Ernestina Pereira Maia, Moju,Pará (PA),2019
Prêmio STEM Tech Camp Jr. ,Captação de pó basáltico,E.E. Sérvulo Pereira de Araújo Ensino Médio, Bodo,Rio Grande do Norte (RN),2019
Prêmio STEM Tech Camp Jr. ,Saburâmica: uma opção ecológica,E.E. Doutor José Fernandes de Melo, Pau Dos Ferros,Rio Grande do Norte (RN),2019
Prêmio STEM Tech Camp Jr. ,BioCanudo: uma alternativa ecológica para a produção de canudinhos biodegradáveis,E.E. Culto à Ciência, Campinas,São Paulo (SP),2019
National Youth Science Camp (NYSC) ,Biopolímeros do Quiabo e do Mandacaru para tratamento de água,Colégio Estadual João Vilas Boas, Livramento Do Brumado,Bahia (BA),2019
National Youth Science Camp (NYSC) ,BioCanudo: uma alternativa ecológica para a produção de canudinhos biodegradáveis,E.E. Culto à Ciência, Campinas,São Paulo (SP),2019
Intel ISEF ,Aplicação da semente da Moringa oleifera como solução à eutrofização,SENAI Vila Canaã, Goiania,Goiás (GO),2019
Intel ISEF ,Samis: uso do sabugo de milho para substituição do poliestireno - fase II,Colégio SESI, Campo Largo,Paraná (PR),2019
Intel ISEF ,ACAPELA: Aparelho de Comunicação Alternativa para Pessoas com Esclerose Lateral Amiotrófica,IF Baiano - Campus Valença, Valenca,Bahia (BA),2019
Intel ISEF ,Análise do efeito alelopático de Leucaena leucocephala sobre Lactuca sativa var. crispa e Cecropia sp.,E.E. Teotônio Vilela, Campo Grande,Mato Grosso do Sul (MS),2019
Intel ISEF ,Análise e desenvolvimento de interactomas sob estímulo por agrotóxicos: um estudo de processos biológicos e geração de doenças neurológicas por contaminantes agrícolas,E.E.F.M. Deputado Joaquim de Figueiredo Correia, Iracema,Ceará (CE),2019
Intel ISEF ,Desenvolvimento de cateter bioativo proveniente do aproveitamento do líquido da castanha do caju (Anacardium Occidentale) como alternativa na prevenção de infecção sistêmica,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2019
Intel ISEF ,CATCHPOOH: aproveitamento de resíduos para biossíntese de celulose e confecção de embalagem,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2019
Intel ISEF ,Endopiso: reutilizando o endocarpo lenhoso do Cocus nucifera na produção de piso alternativo,E.E. Educação Profissional Júlio França, Bela Cruz,Ceará (CE),2019
Outstanding for Behavioral Sciences ,Gravidez e maternidade na adolescência: mobilidade social e sociabilidade local na periferia de São Paulo ,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2018
 ,"Solidari: plataforma que interliga instituições sociais, doadores e voluntários, com o intuito de propagar o voluntariado no Brasil ",Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2018
The 2018 Regional Ricoh Sustainable Development Award ,Biovaso: reaproveitamento dos resíduos de biomassa Euterpe oleracea para a produção de vasos ecológicos ,Escola Conexão Aquarela, Macapa,Amapá (AP),2018
The 2018 Regional Ricoh Sustainable Development Award ,Redução dos níveis de CO2 antrópico na atmosfera utilizando o metabolismo da microalga Dunaliella salina e aproveitamento da sua biomassa para produção de tensoativo ,SESI Piatã - Escola Djalma Pessoa, Salvador,Bahia (BA),2018
Student Awards for Geoscience Excellence ,As nascentes do Rio das Mulheres - cuidar para não morrer ,Colégio Estadual Eurides Santana, Pocoes,Bahia (BA),2018
"Most Outstanding Exhibit in Computer Science, Engineering, Physics or ",Desenvolvimento de um sistema de alerta para moradores de áreas suscetíveis a enchentes em Atibaia (SAMASE) ,Colégio FAAT, Atibaia,São Paulo (SP),2018
ASU Walton Sustainability Solution Initiatives ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
"Most Challenging, original, thorough and Creative Investigation of a Problem ",Verificação da Lei de Titius-Bode em sistemas exoplanetários e determinação de fórmulas que descrevem as distâncias planetas-estrelas ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2018
Outstanding Achievement for Ability and Creativity in an Atmospheric Science ,Bolmoringa - o uso da semente da Moringa oleifera como solução a eutrofização ,Escola SESI-Canaã Centro de Atividades Mozart Soares Filho, Goiania,Goiás (GO),2018
Outstanding Achievement for Ability and Creativity in In Vitro Biology ,Uso de diferentes concentrações de extratos vegetais no controle in vitro do fungo Colletotrichum musae causador da antracnose nos frutos da bananeira (Musa spp.) ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2018
Prêmio ABRIC de Excelência em Iniciação Científica ,Desvendando as regiões da Bahia através da criação de mangás ,Colégio Estadual Edvaldo Brandão Correia, Salvador,Bahia (BA),2018
Prêmio ABRIC de Excelência em Iniciação Científica ,GyroGlove de baixo custo ,E.E. Juscelino Kubitschek Ensino Fundamental e Médio, Acu,Rio Grande do Norte (RN),2018
Prêmio ABRIC de Excelência em Iniciação Científica ,Monitorador de câmara subterrânea para prevenção de explosões de bueiro ,E.T.E. Henrique Lage, Niteroi,Rio de Janeiro (RJ),2018
Prêmio ABRIC de Excelência em Iniciação Científica ,A importância das técnicas de propagação vegetativa na agricultura familiar ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2018
Prêmio ABRIC de Excelência em Iniciação Científica ,Aumento na produção agrícola a partir da utilização de gás carbônico no tratamento de sementes - fase II ,Colégio Londrinense - Instituto Filadélfia de Londrina, Londrina,Paraná (PR),2018
Prêmio ABRIC de Excelência em Iniciação Científica ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
Prêmio ABRIC de Excelência em Iniciação Científica ,Curativo cicatrizante com propriedades da planta Stryphnodendron adstringens “barbatimão” ,E.E. Prof. José Claret Dionísio, Hortolandia,São Paulo (SP),2018
Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,SmartCam: dispositivo de segurança para ultrapassagem ,COLEGIO ESTADUAL WILSON LINS, Valente,Bahia (BA),2018
Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Usando a robótica educacional de baixo custo para ensinar fenômenos físicos ,IFPI - Unid. Parnaíba, Parnaiba,Piauí (PI),2018
Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Aplicação da farinha do Hymenaea courbaril no combate à desnutrição ,Centro de Ensino Professor Edinan Moraes, Imperatriz,Maranhão (MA),2018
Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Cimento ósseo a partir da reciclagem de resíduos das indústrias coureira e pesqueira ,Etec Prof. Carmelino Corrêa Júnior (agrícola), Franca,São Paulo (SP),2018
Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Biovaso: reaproveitamento dos resíduos de biomassa Euterpe oleracea para a produção de vasos ecológicos ,Escola Conexão Aquarela, Macapa,Amapá (AP),2018
Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Produção e viabilidade de copos de café comestíveis como alternativa ao plástico ,Instituto Federal de Educação,Três Lagoas,Tocantins (TO),2018
Prêmio ABRITEC - Certificado de Incentivo à Pesquisa Tecnológica e Científica ,Superdotação sob a perspectiva da educação inclusiva ,ESC PROF JOSE RODRIGUES LEITE, Rio Branco,Acre (AC),2018
Prêmio Agência USP de Inovação ,Utilização de compostos bioativos microbianos no desenvolvimento de alternativa para combate de Cândida spp. ,Colégio Interativa, Londrina,Paraná (PR),2018
Prêmio Destaque do Ano Ciências Moleculares ,Aplicação da pasteurização como método de conservação do caldo de cana e inativação do agente etiológico Trypanosoma cruzi causador da doença de Chagas – Fase II ,E.E. Viriato Bandeira, Coxim,Mato Grosso do Sul (MS),2018
 ,Cartografia dos adolescentes desaparecidos no “Triângulo da Violência” na zona sul da cidade de São Paulo em 2016 ,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2018
Prêmio EDUSP ,Espuma de poliuretano a partir da casca da mandioca: o uso do lei de Lavoisier para explicar a transformação de resíduo em novos materiais ,E.E. Fernando Otavio, Para De Minas,Minas Gerais (MG),2018
Prêmio EDUSP ,Desenvolvimento de capas para celular e notebook utilizando células fotovoltaicas monocristalinas com conversor e wireless ,Colégio Visconde de Guarapuava, Guarapuava,Paraná (PR),2018
Prêmio EDUSP ,Chocadeira autossustentável ,E.E. Maria do Carmo Lima Pinto, Alagoa,Minas Gerais (MG),2018
Prêmio EDUSP ,"Doação de sangue, uma busca sem fim! ",E.M.E.F Maria Almerinda Paz de Oliveira, Nova Hartz,Rio Grande do Sul (RS),2018
Prêmio EDUSP ,Cashew Bottle: garrafa biodegradável produzida a partir do reaproveitamento de resíduos do cajueiro (Anacardium occidentale L.). ,E.E. Prof. Hermógenes Nogueira da Costa, Mossoro,Rio Grande do Norte (RN),2018
Menção Honrosa em Física 2018 ,Estudo comparativo de propriedades eletrônicas de dispositivos de rede de nanofios de germânio com diferentes configurações ,IFSP - Campus Sertãozinho, Sertaozinho,São Paulo (SP),2018
Menção Honrosa em Física 2018 ,Usando a robótica educacional de baixo custo para ensinar fenômenos físicos ,IFPI - Unid. Parnaíba, Parnaiba,Piauí (PI),2018
Destaque em Física 2018 ,A influência da temperatura no coeficiente de atrito dinâmico ,Escola Suíço-Brasileira de São Paulo, Sao Paulo,São Paulo (SP),2018
Prêmio Museu Paulista da USP ,Áudio Guia 2.0: interface de realidade aumentada em áudio para navegação e orientação de pessoas com deficiência visual por meio do mapa espacial cognitivo ,Instituto Federal de Educação,Charqueadas,Tocantins (TO),2018
Prêmio Museu Paulista da USP ,"Cabelo, autoestima e construção da identidade da menina negra no ensino fundamental II – estudo de caso na E.E. Leila Mara Avelino ",E. E. Leila Mara Avelino, Sumare,São Paulo (SP),2018
Prêmio Museu Paulista da USP ,Sistema de sinalização espacial- sonora para deficientes visuais ,Colégio Militar de Manaus, Manaus,Amazonas (AM),2018
Prêmio Museu Paulista da USP ,Site da coordenação de história do CEFET-RJ Maracanã ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca - CEFET/RJ, Rio De Janeiro,Rio de Janeiro (RJ),2018
Prêmio Anna Frida Hoffman ,Controlador de carga fotovoltaico inteligente de baixo custo ,Centro Federal de Educação Tecnológica - Unidade Curvelo, Curvelo,Minas Gerais (MG),2018
Prêmio Marília Chaves Peixoto ,Bolmoringa - o uso da semente da Moringa oleifera como solução a eutrofização ,Escola SESI-Canaã Centro de Atividades Mozart Soares Filho, Goiania,Goiás (GO),2018
Prêmio Marília Chaves Peixoto ,Free Access: sistema colaborativo para mapeamento de locais com acessibilidade para pessoas com mobilidade reduzida ,Instituto Federal de Educação,Natal,Tocantins (TO),2018
Prêmio Revista ECO 21 ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
Prêmio Revista InCiência ,Biofibra: telha ecológica de fibra de coco ,Etec de Heliópolis, Sao Paulo,São Paulo (SP),2018
Prêmio Revista InCiência ,"Desenvolvimento da telha ecológica de baixo custo à base do bagaço da laranja (Citrus sinensis (L.) Osbeck), e a caracterização do seu potencial de aplicação em habitações de interesse social ",E.E. Professor Gabriel Pozzi, Limeira,São Paulo (SP),2018
Prêmio Revista InCiência ,Microscópio caseiro: uma alternativa para a melhoria do ensino de citologia nas escolas com ausência de laboratório de ciências ,Instituto Federal do Amapá - Campus Macapá, Macapa,Amapá (AP),2018
Prêmio Revista InCiência ,SmartCam: dispositivo de segurança para ultrapassagem ,COLEGIO ESTADUAL WILSON LINS, Valente,Bahia (BA),2018
Prêmio Revista InCiência ,Braille Reader ,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2018
Prêmio Revista InCiência ,Entendendo a geometria molecular através do movimento maker ,Colégio Paraíso, Juazeiro Do Norte,Ceará (CE),2018
Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular ,A microbiota autóctone como solução para impactos ambientais e reaproveitamento dos resíduos do tratamento de água ,Instituto Federal de Educação,Osório,Tocantins (TO),2018
Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular ,Cimento ósseo a partir da reciclagem de resíduos das indústrias coureira e pesqueira ,Etec Prof. Carmelino Corrêa Júnior (agrícola), Franca,São Paulo (SP),2018
Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular ,Uso de diferentes concentrações de extratos vegetais no controle in vitro do fungo Colletotrichum musae causador da antracnose nos frutos da bananeira (Musa spp.) ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2018
Prêmio Sociedade Brasileira de Bioquímica e Biologia Molecular ,Biopolímero enriquecido com fibra de bananeira como alternativa a materiais poluentes ,Colégio Olimpus, Arapongas,Paraná (PR),2018
Menção honrosa da SBPC na FEBRACE ,Dessalinizador vertical fototermofuncional ,Colégio Paraíso, Juazeiro Do Norte,Ceará (CE),2018
Menção honrosa da SBPC na FEBRACE ,Espuma de poliuretano a partir da casca da mandioca: o uso do lei de Lavoisier para explicar a transformação de resíduo em novos materiais ,E.E. Fernando Otavio, Para De Minas,Minas Gerais (MG),2018
Projeto Destaque da SBPC na FEBRACE ,Em 3º lugar Recuperação de cobre e níquel do lodo das indústrias de folheados para a produção de sais e estudo das aplicações ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2018
Em 2º lugar  ,Utilização de compostos bioativos microbianos no desenvolvimento de alternativa para combate de Cândida spp. ,Colégio Interativa, Londrina,Paraná (PR),2018
Em 1º lugar  ,Ciclo ambiental polimérico: produzindo materiais cristalinos para resolução de problemas ambientais ,Instituto Federal de Educação,Limoeiro Do Norte,Tocantins (TO),2018
Prêmio Manual do Mundo ,"Doação de sangue, uma busca sem fim! ",E.M.E.F Maria Almerinda Paz de Oliveira, Nova Hartz,Rio Grande do Sul (RS),2018
4o. Lugar na Votação Popular ,Iluminar - construção audiovisual do conhecimento ,Colégio Militar de Manaus, Manaus,Amazonas (AM),2018
3o. Lugar na Votação Popular ,Biofibra: telha ecológica de fibra de coco ,Etec de Heliópolis, Sao Paulo,São Paulo (SP),2018
2o. Lugar na Votação Popular ,"As plantas medicinais “yuyos” utilizadas na bebida do tereré, na região de fronteira entre Ponta Porã – BR, e Pedro Juan Caballero - PY ",Instituto Federal de Educação,Ponta Porã,Tocantins (TO),2018
1o. Lugar na Votação Popular ,Película impermeabilizadora à base de materiais de difícil reutilização ,Etec Monte Mor, Monte Mor,São Paulo (SP),2018
Society for Science & the Public Award for Community Innovation ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
Prêmio Marinha do Brasil ,SFTE - sistema fracionado de tratamento de efluentes domésticos ,Colégio Santa Teresinha, Campo Bom,Rio Grande do Sul (RS),2018
2o. Lugar em Mentalidade Marítima ,Ciclo ambiental polimérico: produzindo materiais cristalinos para resolução de problemas ambientais ,Instituto Federal de Educação,Limoeiro Do Norte,Tocantins (TO),2018
1o. Lugar em Mentalidade Marítima ,Dessalinizador vertical fototermofuncional ,Colégio Paraíso, Juazeiro Do Norte,Ceará (CE),2018
Prêmio Defesa Civil do Estado de São Paulo ,Desenvolvimento de um sistema de alerta para moradores de áreas suscetíveis a enchentes em Atibaia (SAMASE) ,Colégio FAAT, Atibaia,São Paulo (SP),2018
Prêmio Defesa Civil do Estado de São Paulo ,Sensor de enchentes: método de prevenção para cidades ribeirinhas ,Complexo Educacional Dom Bosco, Imperatriz,Maranhão (MA),2018
Prêmio Defesa Civil do Estado de São Paulo ,Robô explorador ,MACHADO DE ASSIS, Col Est- Ens.Med.Prof.,Tocantins (TO),2018
